graph_density,alpha,beta,num_cities,split_count,improvement_factor,tour_sequence,distances_between_cities,gold_carried_at_each_step,status,error
0.05,1000000,0.01,15,1,3.0158,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,1000000,0.3,15,6,2.1409,"[14, 13, 12, 0, 11, 9, 10, 0, 6, 5, 0, 1, 0, 7, 8, 0, 4, 3, 2, 0]","[0.7115, 0.3462, 0.9184, 1.3677, 0.298, 0.2857, 1.3554, 1.2656, 0.2922, 1.5578, 0.4093, 0.4093, 0.6372, 0.1976, 0.4396, 2.0924, 0.7165, 0.6934, 1.2228]","[313.0543, 1013.6191, 1846.4646, 0.0, 437.7148, 665.3972, 1335.5414, 0.0, 190.2819, 660.3681, 0.0, 745.0174, 0.0, 130.7916, 607.0208, 0.0, 371.0892, 697.5888, 1665.131, 0.0]",success,
0.05,1000000,1.0,15,12,1.0,"[3, 0, 12, 0, 10, 0, 8, 0, 9, 0, 5, 0, 4, 6, 0, 2, 0, 7, 0, 14, 1, 0, 13, 0, 11, 0]","[1.9162, 0.9184, 0.9184, 1.3554, 1.3554, 0.4396, 0.4396, 1.0697, 1.0697, 1.5578, 1.5578, 2.0924, 0.8268, 1.2656, 1.2228, 1.2228, 0.6372, 0.6372, 1.9762, 1.5668, 0.4093, 1.2647, 1.2647, 1.3677, 1.3677]","[326.4995, 0.0, 832.8455, 0.0, 670.1442, 0.0, 476.2292, 0.0, 227.6824, 0.0, 470.0863, 0.0, 371.0892, 561.3711, 0.0, 967.5422, 0.0, 130.7916, 0.0, 313.0543, 1058.0717, 0.0, 700.5648, 0.0, 437.7148, 0.0]",success,
0.05,10000000.0,0.0001,15,1,3.0998,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,10000000.0,0.001,15,1,3.0918,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,10000000.0,0.01,15,1,3.0104,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 13, 12, 1, 0]","[0.6934, 0.7165, 0.5346, 0.2922, 0.6284, 0.1976, 0.6301, 0.2857, 0.579, 1.7822, 0.7115, 0.3462, 0.5091, 0.4093]","[967.5422, 1294.0418, 1665.131, 2135.2173, 2325.4991, 2456.2907, 2932.52, 3160.2024, 3830.3466, 4268.0613, 4581.1156, 5281.6804, 6114.526, 6859.5434, 0.0]",success,
0.05,10000000.0,0.3,15,6,2.141,"[11, 9, 10, 0, 1, 0, 7, 8, 0, 6, 5, 0, 4, 3, 2, 0, 14, 13, 12, 0]","[0.298, 0.2857, 1.3554, 0.4093, 0.4093, 0.6372, 0.1976, 0.4396, 1.2656, 0.2922, 1.5578, 2.0924, 0.7165, 0.6934, 1.2228, 1.9762, 0.7115, 0.3462, 0.9184]","[437.7148, 665.3972, 1335.5414, 0.0, 745.0174, 0.0, 130.7916, 607.0208, 0.0, 190.2819, 660.3681, 0.0, 371.0892, 697.5888, 1665.131, 0.0, 313.0543, 1013.6191, 1846.4646, 0.0]",success,
0.05,10000000.0,1.0,15,13,1.0,"[4, 0, 2, 0, 5, 0, 10, 0, 6, 8, 0, 12, 0, 13, 0, 14, 0, 9, 0, 1, 0, 3, 0, 11, 0, 7, 0]","[2.0924, 1.2228, 1.2228, 1.5578, 1.5578, 1.3554, 1.3554, 1.2656, 0.826, 0.4396, 0.9184, 0.9184, 1.2647, 1.2647, 1.9762, 1.9762, 1.0697, 1.0697, 0.4093, 0.4093, 1.9162, 1.9162, 1.3677, 1.3677, 0.6372, 0.6372]","[371.0892, 0.0, 967.5422, 0.0, 470.0863, 0.0, 670.1442, 0.0, 190.2819, 666.5111, 0.0, 832.8455, 0.0, 700.5648, 0.0, 313.0543, 0.0, 227.6824, 0.0, 745.0174, 0.0, 326.4995, 0.0, 437.7148, 0.0, 130.7916, 0.0]",success,
0.95,1e-08,0.0001,15,1,1.4542,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
0.95,1e-08,0.001,15,1,1.4572,"[4, 7, 13, 8, 12, 10, 9, 1, 11, 3, 6, 5, 2, 14, 0]","[0.3863, 0.1849, 0.0901, 0.2592, 0.1612, 0.2857, 0.0726, 0.2256, 0.2353, 0.1229, 0.2922, 0.2809, 0.2987, 0.3912]","[371.0892, 501.8808, 1202.4457, 1678.6749, 2511.5204, 3181.6646, 3409.347, 4154.3644, 4592.0792, 4918.5787, 5108.8606, 5578.9469, 6546.4891, 6859.5434, 0.0]",success,
